"IdTarugo","IDPlot","DAP_cm","Competencia_Total","Elevation","Densidad"
"ARIM01","Aristobulo-01",80,-2.10188875382178,619,1320
"ARIV01","Aristobulo-02",24.3,-6.2863457493891,619,600
"Furi-105","Aviles-01",18,-10.1755220010032,730,1480
"Furi-97","Aviles-01",18.7,-10.1191594726034,730,1480
"Furi-99","Aviles-01",20,-9.99416806728763,730,1480
"Furi-100","Aviles-01",20.5,-9.95957127818997,730,1480
"Furi-94","Aviles-01",20.7,-9.8916170582965,730,1480
"Furi-84","Aviles-01",21,-9.82136240718243,730,1480
"Furi-91","Aviles-01",21,-9.82136240718243,730,1480
"Furi-96","Aviles-01",21.3,-9.7847330076379,730,1480
"Furi-85","Aviles-01",22,-9.66831265247933,730,1480
"Furi-93","Aviles-01",22,-9.66831265247933,730,1480
"Furi-79","Aviles-01",22.1,-9.62960666019078,730,1480
"Furi-82","Aviles-01",23.7,-9.53818867016581,730,1480
"Furi-103","Aviles-01",25.3,-9.43227772783166,730,1480
"Furi-88","Aviles-01",25.4,-9.38120878305307,730,1480
"Furi-81","Aviles-01",26.5,-9.32157035891365,730,1480
"Furi-98","Aviles-01",26.9,-9.26306055193503,730,1480
"Furi-87","Aviles-01",27,-9.20538169621328,730,1480
"Furi-92","Aviles-01",28.1,-9.1386055735649,730,1480
"Furi-80","Aviles-01",28.5,-9.01013171279268,730,1480
"Furi-86","Aviles-01",45.2,-8.75300570586513,730,1480
"Furi-106","Aviles-01",48.8,-8.53938997179164,730,1480
"Furi-101","Aviles-01",53,-8.28519114381907,730,1480
"Furi-90","Aviles-01",53.8,-8.05115191590459,730,1480
"Furi-107","Aviles-01",73.8,-6.80155359280905,730,1480
"Furi-78","Aviles-01",75.3,-6.33866033565484,730,1480
"Card-06","Cardenas-01",43.5,-4.41052747946819,910,180
"Card-04","Cardenas-01",50.5,-4.1585521136962,910,180
"Card-08","Cardenas-01",52.5,-3.92589754274379,910,180
"Card-02","Cardenas-01",61,-3.55787959832983,910,180
"Card-07","Cardenas-01",62.3,-3.24045464740745,910,180
"Card-03","Cardenas-01",63,-2.92184138906384,910,180
"Card-05","Cardenas-01",66,-2.54932704016443,910,180
"Card-01","Cardenas-01",78,-1.93577399491834,910,180
"Card-14","Cardenas-02",21.5,-7.15715674845418,870,1940
"Card-13","Cardenas-02",23,-7.11036665286978,870,1940
"Card-12","Cardenas-02",25.1,-7.0529524763291,870,1940
"Card-20","Cardenas-02",25.6,-6.99948963794847,870,1940
"Card-16","Cardenas-02",26,-6.94477566029355,870,1940
"Card-17","Cardenas-02",34,-6.81628452076173,870,1940
"Card-10","Cardenas-02",36,-6.70350134449786,870,1940
"Card-18","Cardenas-02",53.4,-6.25042634978428,870,1940
"Card-19","Cardenas-02",62.2,-5.86667138237032,870,1940
"Card-21","Cardenas-02",63.8,-5.53114614537428,870,1940
"Card-11","Cardenas-02",70,-5.08114755526673,870,1940
"Card-09","Cardenas-02",75,-4.58241972150935,870,1940
"Card-15","Cardenas-02",120.8,-2.73199965739639,870,1940
"Card-24","Cardenas-03",32,-8.22973575029791,880,720
"Card-31","Cardenas-03",38.7,-7.87282412131255,880,720
"Card-28","Cardenas-03",39.5,-7.74536892195825,880,720
"Card-27","Cardenas-03",44.9,-7.55123656012416,880,720
"Card-26","Cardenas-03",45.3,-7.38723207183799,880,720
"Card-32","Cardenas-03",49.5,-7.1635184735777,880,720
"Card-25","Cardenas-03",58.1,-6.59329348881176,880,720
"Card-29","Cardenas-03",67.7,-5.78590653303367,880,720
"Card-33","Cardenas-03",72,-5.33157647205499,880,720
"Card-23","Cardenas-03",73.6,-4.88783279292074,880,720
"Card-22","Cardenas-03",74.5,-4.44144860516115,880,720
"Card-30","Cardenas-03",86.6,-3.69933609074302,880,720
"Furi-67","ElFurioso-10",17.5,-6.75535490204168,907,1200
"Furi-58","ElFurioso-10",20.5,-6.50864327476078,907,1200
"Furi-52","ElFurioso-10",20.6,-6.47499131965369,907,1200
"Furi-70","ElFurioso-10",21.1,-6.43838705285039,907,1200
"Furi-53","ElFurioso-10",21.4,-6.40141757590111,907,1200
"Furi-68","ElFurioso-10",22.8,-6.35572939393995,907,1200
"Furi-59","ElFurioso-10",23.5,-6.26680504308377,907,1200
"Furi-55","ElFurioso-10",23.9,-6.17559047118312,907,1200
"Furi-56","ElFurioso-10",23.9,-6.17559047118312,907,1200
"Furi-73","ElFurioso-10",24.3,-6.08246031316194,907,1200
"Furi-57","ElFurioso-10",25.5,-5.97682033319416,907,1200
"Furi-50","ElFurioso-10",25.6,-5.92494714069625,907,1200
"Furi-66","ElFurioso-10",26.3,-5.86776858360459,907,1200
"Furi-54","ElFurioso-10",26.4,-5.81261556837633,907,1200
"Furi-63","ElFurioso-10",27.1,-5.75199382573634,907,1200
"Furi-72","ElFurioso-10",28,-5.68652382023369,907,1200
"Furi-71","ElFurioso-10",30,-5.60672736683251,907,1200
"Furi-65","ElFurioso-10",30.2,-5.53415029334928,907,1200
"Furi-69","ElFurioso-10",30.5,-5.45965841914368,907,1200
"Furi-75","ElFurioso-10",31,-5.38176655628874,907,1200
"Furi-74","ElFurioso-10",33,-5.28618359980327,907,1200
"Furi-51","ElFurioso-10",40.2,-4.99157368012942,907,1200
"Furi-61","ElFurioso-10",54,-4.66045295603371,907,1200
"Furi-64","ElFurioso-10",55.5,-4.16370825263891,907,1200
"Furi-76","ElFurioso-10",55.5,-4.16370825263891,907,1200
"Furi-60","ElFurioso-10",57.5,-3.62661371859956,907,1200
"Furi-62","ElFurioso-10",57.5,-3.62661371859956,907,1200
"PNPM11","ElFurioso-12",100,-2.43875475973052,803,540
"PNPV01","ElFurioso-13",71,-4.13537187230169,725,320
"Eloy04","Eloy-01",22.3,-7.62577084583058,702,1160
"Eloy09","Eloy-01",23,-7.58173278541072,702,1160
"Eloy10","Eloy-01",23.7,-7.5350502893747,702,1160
"Eloy14","Eloy-01",24.5,-7.48487826929871,702,1160
"Eloy07","Eloy-01",24.7,-7.43618908095521,702,1160
"Eloy03","Eloy-01",29.9,-7.23440301401881,702,1160
"Eloy12","Eloy-01",32.7,-7.13665471479685,702,1160
"Eloy01","Eloy-01",39,-6.98171843370528,702,1160
"Eloy17","Eloy-01",46.7,-6.75860409424366,702,1160
"Eloy08","Eloy-01",50.5,-6.52929846105997,702,1160
"Eloy18","Eloy-01",50.7,-6.32582300267411,702,1160
"Eloy15","Eloy-01",57.4,-6.01016912461018,702,1160
"Eloy13","Eloy-01",60.5,-5.69398824437862,702,1160
"Eloy16","Eloy-01",69,-5.23360747594912,702,1160
"Eloy05","Eloy-01",87.7,-3.45208096793305,702,1160
"Eloy20","Eloy-01",69.5,-5.23360747594912,702,1160
"Eloy26","Eloy-02",22.8,-6.40683603783039,716,1060
"Eloy23","Eloy-02",27.5,-6.32887270374258,716,1060
"Eloy34","Eloy-02",28.3,-6.26246493283283,716,1060
"Eloy38","Eloy-02",29.4,-6.12624626077134,716,1060
"Eloy35","Eloy-02",35,-6.00171038639039,716,1060
