DAP_cm;Competencia_Total;Elevation;Densidad
80;-2,101888754;619;1320
24,3;-6,286345749;619;600
18;-10,175522;730;1480
18,7;-10,11915947;730;1480
20;-9,994168067;730;1480
20,5;-9,959571278;730;1480
20,7;-9,891617058;730;1480
21;-9,821362407;730;1480
21;-9,821362407;730;1480
21,3;-9,784733008;730;1480
22;-9,668312652;730;1480
22;-9,668312652;730;1480
22,1;-9,62960666;730;1480
23,7;-9,53818867;730;1480
25,3;-9,432277728;730;1480
25,4;-9,381208783;730;1480
26,5;-9,321570359;730;1480
26,9;-9,263060552;730;1480
27;-9,205381696;730;1480
28,1;-9,138605574;730;1480
28,5;-9,010131713;730;1480
45,2;-8,753005706;730;1480
48,8;-8,539389972;730;1480
53;-8,285191144;730;1480
53,8;-8,051151916;730;1480
73,8;-6,801553593;730;1480
75,3;-6,338660336;730;1480
43,5;-4,410527479;910;180
50,5;-4,158552114;910;180
52,5;-3,925897543;910;180
61;-3,557879598;910;180
62,3;-3,240454647;910;180
63;-2,921841389;910;180
66;-2,54932704;910;180
78;-1,935773995;910;180
21,5;-7,157156748;870;1940
23;-7,110366653;870;1940
25,1;-7,052952476;870;1940
25,6;-6,999489638;870;1940
26;-6,94477566;870;1940
34;-6,816284521;870;1940
36;-6,703501344;870;1940
53,4;-6,25042635;870;1940
62,2;-5,866671382;870;1940
63,8;-5,531146145;870;1940
70;-5,081147555;870;1940
75;-4,582419722;870;1940
120,8;-2,731999657;870;1940
32;-8,22973575;880;720
38,7;-7,872824121;880;720
39,5;-7,745368922;880;720
44,9;-7,55123656;880;720
45,3;-7,387232072;880;720
49,5;-7,163518474;880;720
58,1;-6,593293489;880;720
67,7;-5,785906533;880;720
72;-5,331576472;880;720
73,6;-4,887832793;880;720
74,5;-4,441448605;880;720
86,6;-3,699336091;880;720
17,5;-6,755354902;907;1200
20,5;-6,508643275;907;1200
20,6;-6,47499132;907;1200
21,1;-6,438387053;907;1200
21,4;-6,401417576;907;1200
22,8;-6,355729394;907;1200
23,5;-6,266805043;907;1200
23,9;-6,175590471;907;1200
23,9;-6,175590471;907;1200
24,3;-6,082460313;907;1200
25,5;-5,976820333;907;1200
25,6;-5,924947141;907;1200
26,3;-5,867768584;907;1200
26,4;-5,812615568;907;1200
27,1;-5,751993826;907;1200
28;-5,68652382;907;1200
30;-5,606727367;907;1200
30,2;-5,534150293;907;1200
30,5;-5,459658419;907;1200
31;-5,381766556;907;1200
33;-5,2861836;907;1200
40,2;-4,99157368;907;1200
54;-4,660452956;907;1200
55,5;-4,163708253;907;1200
