"Elevacion","DAP","Competencia","Densidad","Cluster"
619,29.5,-4.476701893,1260,"1"
619,37.2,-5.620461625,1260,"1"
619,25.7,-5.924947141,1260,"1"
619,44,-5.98040332,1260,"1"
619,19.9,-9.994168067,1260,"1"
619,52,-0.223295766,1260,"1"
730,27.8,-6.150176557,1200,"2"
730,68.7,-7.286394802,1200,"2"
730,82.2,-4.731434886,1200,"1"
730,40.9,-4.99157368,1200,"1"
730,71.4,-3.410197255,1200,"2"
730,24.1,-6.555612441,1200,"3"
730,20.6,-6.47499132,1200,"2"
730,53.1,-3.427326694,1200,"2"
730,26.4,-5.812615568,1200,"2"
730,81.5,-4.731434886,1200,"2"
730,44.3,-5.291926431,1200,"1"
730,40.3,-4.99157368,1200,"2"
661,42.5,-0.519346106,1200,"2"
661,32.2,-0.72163797,1200,"1"
661,35.8,-3.00931511,1200,"2"
661,23.5,-6.266805043,1200,"1"
661,41.2,-3.730019147,1200,"1"
661,41.9,-3.730019147,1200,"2"
661,91.6,-3.788155198,1200,"2"
661,62.8,-2.795473872,1200,"2"
661,25.4,-9.381208783,1200,"2"
661,37.4,-5.620461625,1200,"1"
661,52.8,-0.223295766,1200,"2"
661,75.9,-6.338660336,1200,"2"
661,28.5,-9.010131713,1200,"3"
880,84,-3.193585886,400,"2"
880,34.6,-5.877026072,400,"1"
880,44.5,-7.55123656,400,"1"
880,34.5,-5.877026072,400,"3"
880,59,-4.508090425,400,"1"
880,50.8,-4.158552114,400,"1"
880,41.9,-9.587930292,400,"1"
880,29.2,-6.923474091,400,"1"
880,37.5,-0.354994472,400,"1"
880,40.2,-6.092425445,400,"1"
880,34.1,-9.891928861,400,"1"
880,41.9,-9.587930292,400,"1"
870,43.1,-2.791169984,1820,"1"
870,65.8,-2.54932704,1820,"3"
870,52,-3.786012632,1820,"1"
907,22.5,-6.728699274,1000,"1"
907,36.8,-5.943981265,1000,"1"
907,56,-5.17984383,1000,"2"
907,49.4,-4.735674465,1000,"2"
907,49.5,-4.735674465,1000,"2"
907,27.1,-5.751993826,1000,"1"
907,40.4,-4.99157368,1000,"2"
907,68.4,-7.286394802,1000,"2"
702,80.6,-4.150003055,800,"1"
702,53,-3.886478409,800,"1"
702,44,-4.913448554,800,"2"
702,59,-5.693988244,800,"1"
702,46.9,-6.351771773,800,"2"
702,53.6,-10.84252296,800,"1"
702,24.1,-6.36421248,800,"2"
702,32.2,-5.934914629,800,"1"
702,37.5,-5.772927043,800,"2"
